geneID,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000165269.13,0.04345094577244985,0.04345094577244985,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000166035.11,0.04078281917574149,0.04078281917574149,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000243064.8,0.036608929975456415,0.036608929975456415,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000131203.13,0.03628884514894588,0.03628884514894588,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000273272.2,0.036287525603133454,0.036287525603133454,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000074527.13,0.036043971227014936,0.036043971227014936,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000162366.8,-0.03304165095336535,0.03304165095336535,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000185339.9,0.032981256897152485,0.032981256897152485,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000269404.7,-0.03278620770162174,0.03278620770162174,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000269821.1,0.03181207322142151,0.03181207322142151,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000106852.15,-0.030116119828113217,0.030116119828113217,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000089250.19,-0.02956156358448594,0.02956156358448594,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000241162.3,-0.025152289594854327,0.025152289594854327,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000238201.1,-0.023861149344026403,0.023861149344026403,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000141469.18,-0.022234131111143522,0.022234131111143522,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
