geneID,ensembl_gene_id,gene_symbol,mapping_status,coefficient,absolute_coefficient,direction,best_model,best_params
ENSG00000136010.14,ENSG00000136010,ALDH1L2,mapped,-0.0838925313322007,0.0838925313322007,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000244384.3,ENSG00000244384,RN7SL359P,mapped,-0.0821126138597824,0.0821126138597824,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000198929.13,ENSG00000198929,NOS1AP,mapped,-0.0780805147864265,0.0780805147864265,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000163235.16,ENSG00000163235,TGFA,mapped,0.0766284406651554,0.0766284406651554,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000205592.15,ENSG00000205592,MUC19,mapped,0.0764835264037386,0.0764835264037386,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164047.6,ENSG00000164047,CAMP,mapped,0.0764057938174578,0.0764057938174578,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000124212.6,ENSG00000124212,PTGIS,mapped,-0.0758748626956217,0.0758748626956217,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000227115.8,ENSG00000227115,LINC01630,mapped,0.0741158670357558,0.0741158670357558,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000174885.13,ENSG00000174885,NLRP6,mapped,-0.0720449885009717,0.0720449885009717,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000115318.12,ENSG00000115318,LOXL3,mapped,0.0718202027729371,0.0718202027729371,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000146966.13,ENSG00000146966,DENND2A,mapped,-0.0704399880827514,0.0704399880827514,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000266720.2,ENSG00000266720,RN7SL14P,mapped,-0.0703598967615737,0.0703598967615737,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000099985.4,ENSG00000099985,OSM,mapped,-0.0648504843480584,0.0648504843480584,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000164199.18,ENSG00000164199,ADGRV1,mapped,0.064080107804629,0.064080107804629,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000138080.14,ENSG00000138080,EMILIN1,mapped,-0.0622244534975553,0.0622244534975553,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000092969.12,ENSG00000092969,TGFB2,mapped,-0.060411094079329,0.060411094079329,higher_KD,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000166947.15,ENSG00000166947,EPB42,mapped,0.0600718952580456,0.0600718952580456,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000222985.1,ENSG00000222985,RNU2-14P,mapped,0.0593739222366804,0.0593739222366804,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
ENSG00000259905.7,ENSG00000259905,PWRN1,mapped,0.0593476969106253,0.0593476969106253,higher_MISC,Elastic net logistic regression,"{'classifier__C': 1.0, 'classifier__l1_ratio': 0.5}"
